fips,county_name,pcp_rate_per_100k,pcp_ratio,mental_health_provider_rate_per_100k,mental_health_provider_ratio,dentist_rate_per_100k,dentist_ratio,uninsured_pct,preventable_hospitalization_rate,child_poverty_pct,life_expectancy_years,median_household_income,rural_pct,population,hpsa_active_count,hpsa_max_score,hpsa_underserved_population,heart_disease_pct,asthma_pct,depression_pct,diabetes_pct,fair_or_poor_health_pct,frequent_mental_distress_pct,high_blood_pressure_pct,no_physical_activity_pct,obesity_pct,annual_checkup_pct,heart_disease_pct_source_type,asthma_pct_source_type,depression_pct_source_type,diabetes_pct_source_type,fair_or_poor_health_pct_source_type,frequent_mental_distress_pct_source_type,high_blood_pressure_pct_source_type,no_physical_activity_pct_source_type,obesity_pct_source_type,annual_checkup_pct_source_type
48177,Gonzales,40.73112,2455:1,40.14049,2491:1,45.3812,2204:1,22.631775236,1967.0,24.9,74.236352277,56350,64.621177428,19930,2,17.0,4567.0,6.3,9.9,22.5,13.7,27.7,19.0,34.5,34.7,39.8,71.7,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48179,Gray,28.53067,3505:1,43.02926,2324:1,57.102070000000005,1751:1,21.516457436,2195.0,22.4,72.295596335,56726,20.549300419,20916,1,18.0,7073.0,6.3,9.9,23.6,12.4,24.3,19.1,34.7,30.8,38.5,71.8,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48181,Grayson,42.34369,2362:1,154.51953,647:1,61.48214,1626:1,18.502670106,4453.0,14.8,74.410591734,69442,47.689663059,146907,1,14.0,33979.0,5.5,10.4,25.0,10.6,19.8,18.9,32.1,26.4,33.9,72.9,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48183,Gregg,90.98155,1099:1,240.01331000000002,417:1,100.44403,996:1,19.865438401,3709.0,22.9,72.129591107,61254,13.46034659,126243,4,17.0,12483.0,5.9,10.7,24.2,12.3,23.1,19.5,35.3,28.7,37.2,73.2,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48185,Grimes,26.41397,3786:1,21.61561,4626:1,19.50966,5126:1,19.708965456,3122.0,20.9,74.887496339,64708,74.518245182,32384,1,16.0,7878.0,6.1,10.1,23.3,12.3,23.6,18.9,34.5,29.0,37.1,72.3,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48187,Guadalupe,25.98342,3849:1,60.492219999999996,1653:1,38.84876,2574:1,13.756836076,3030.0,10.7,78.219601755,94952,24.821951756,188454,0,,0.0,5.0,9.5,22.5,11.6,19.8,16.9,31.7,25.4,34.4,73.9,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48189,Hale,40.347609999999996,2478:1,154.27725999999998,648:1,15.70993,6365:1,22.307995274,2074.0,28.8,72.578887901,52487,30.462456184,31761,2,19.0,8104.0,6.6,9.5,21.4,15.0,29.6,18.5,35.5,36.1,39.5,71.5,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48191,Hall,,,,,0.0,2810:0,25.130146711,4047.0,36.8,74.158563848,40725,100.0,2818,1,20.0,2778.0,6.5,10.1,23.6,13.6,26.4,19.3,35.1,32.5,40.0,72.1,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48193,Hamilton,97.21715999999999,1029:1,104.42047,958:1,60.25548,1660:1,22.269180754,3300.0,21.5,74.264762179,59403,100.0,8619,1,15.0,1816.0,5.9,10.2,25.2,11.0,21.5,19.3,33.1,27.4,36.6,72.0,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48195,Hansford,58.150800000000004,1720:1,78.87991,1268:1,19.41371,5151:1,27.108851398,2546.0,13.2,76.543527533,68171,100.0,5071,1,12.0,663.0,5.9,9.6,22.5,12.3,24.6,17.8,32.2,30.5,37.4,71.6,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
